[10:46:51:554 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review296720.json
[10:46:51:563 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review444672.json
[10:46:51:565 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review11523.json
[10:46:51:565 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review8647196.json
[10:46:51:577 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review791769.json
[10:46:51:577 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review891239.json
[10:46:51:604 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review5361249.json
[10:46:51:608 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review856888.json
[10:46:51:609 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review5875.json
[10:46:51:610 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review23406.json
[10:46:51:619 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review287112.json
[10:46:51:621 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review2406.json
[10:46:51:621 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review17616.json
[10:46:51:645 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review23774.json
[10:46:51:649 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review13950.json
[10:46:51:655 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review1146383.json
[10:46:51:655 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review14451.json
[10:46:51:672 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review27274.json
[10:46:51:679 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review438727.json
[10:46:51:655 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review5984.json
[10:46:51:685 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review14781.json
[10:46:51:688 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review283107.json
[10:46:51:690 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review5045.json
[10:46:51:690 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review19035.json
[10:46:51:695 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review26760.json
[10:46:51:697 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review16552.json
[10:46:51:698 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review22148.json
[10:46:51:703 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review9043627.json
[10:46:51:704 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review855749.json
[10:46:51:706 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review894295.json
[10:46:51:706 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review437098.json
[10:46:51:709 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review519729.json
[10:46:51:715 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review18320.json
[10:46:51:715 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review3308.json
[10:46:51:715 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review23581.json
[10:46:51:722 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review11793.json
[10:46:51:724 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review3552.json
[10:46:51:725 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review578899.json
[10:46:51:730 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review915510.json
[10:46:51:730 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review20191.json
[10:46:51:731 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review40682.json
